family,requested_b,expansion_mean,ci_lo,ci_hi,median,n
multidoc_qa,0.2,1.0330474595643981,0.8889017069136019,1.1764640653077114,1.041537174276835,30
multidoc_qa,0.3,0.971161988853011,0.8226227637575066,1.130791096787262,0.9921875,30
multidoc_qa,0.4,1.042233184171745,0.9208255865360668,1.1642027707792342,1.021276595744681,30
multidoc_qa,0.5,1.0883049775404574,0.9406692500241864,1.2306972074188622,1.021276595744681,30
multidoc_qa,0.65,1.0295725209311917,0.8918888269817453,1.1771657491606884,0.9946808510638299,30
multidoc_qa,0.8,0.9306761677742619,0.7944486524186037,1.071728325988836,0.9460227272727273,30
multidoc_qa,1.0,1.0,0.8644569826347354,1.1375269620606414,1.0,30
qa,0.2,1.6809133228590951,1.2677399205384436,2.1346054841376048,1.0267379679144384,30
qa,0.3,1.648497897408149,1.2931290204303612,2.039076640253294,1.4288007337766566,30
qa,0.4,1.5912347576751429,1.1699723204869465,2.059642707592908,1.0021330289010395,30
qa,0.5,1.2891246549653952,0.9853955295850336,1.6196845341820783,1.0267379679144384,30
qa,0.65,0.9845007233778039,0.8332276683583474,1.1347290980175504,1.013368983957219,30
qa,0.8,0.9664982094766023,0.8191445061698553,1.1227140908579325,1.0,30
qa,1.0,1.0,0.9106637748461325,1.0816937176391117,1.0,30
reason,0.2,1.2747363968252616,1.0864396396161629,1.4808783075584835,1.1279118426558794,30
reason,0.3,1.3530484404740766,1.134954596959008,1.6100589737002091,1.0596006325633087,30
reason,0.4,1.2935898562258954,1.094563735362002,1.5312377501076866,1.0873800639658848,30
reason,0.5,1.261294742364515,1.0896301710330756,1.4426339216674189,1.0508184416409252,30
reason,0.65,1.2566614594067222,1.0865710700845987,1.4403846596171264,1.1777550924622173,30
reason,0.8,1.2268910676812474,1.0214130579695708,1.455735349066616,1.0210312075983718,30
reason,1.0,1.0,0.9239742473554218,1.0783010933485297,1.0,30
