c_out_over_c_in,family,requested_b,cost_units_mean,ci_lo,ci_hi,n
1,multidoc_qa,0.2,578.9666666666667,529.3633333333333,624.9341666666666,30
1,multidoc_qa,0.3,827.3333333333334,754.3658333333334,895.635,30
1,multidoc_qa,0.4,1083.7,984.8966666666666,1175.9675,30
1,multidoc_qa,0.5,1336.3666666666666,1212.0974999999999,1452.5008333333333,30
1,multidoc_qa,0.65,1712.8333333333333,1552.1991666666668,1863.5033333333333,30
1,multidoc_qa,0.8,2127.8,1926.6658333333335,2318.5675,30
1,multidoc_qa,1.0,2732.8333333333335,2473.8583333333336,2977.233333333333,30
1,qa,0.2,538.0666666666667,487.065,587.0333333333333,30
1,qa,0.3,772.1,697.7325000000001,843.3375,30
1,qa,0.4,998.9,903.2,1090.2358333333334,30
1,qa,0.5,1227.2333333333333,1109.0225,1339.6683333333333,30
1,qa,0.65,1572.8666666666666,1425.5983333333334,1712.7,30
1,qa,0.8,1965.4333333333334,1783.2291666666667,2137.0333333333333,30
1,qa,1.0,2434.133333333333,2197.6633333333334,2660.7791666666667,30
1,reason,0.2,548.2333333333333,527.4658333333333,569.2333333333333,30
1,reason,0.3,695.7666666666667,675.3333333333334,715.9675,30
1,reason,0.4,831.3,810.0666666666667,852.9341666666666,30
1,reason,0.5,962.4666666666667,938.9325,986.3341666666666,30
1,reason,0.65,1185.0333333333333,1164.3,1205.4666666666667,30
1,reason,0.8,1397.9,1374.2991666666667,1420.8008333333332,30
1,reason,1.0,1482.4,1449.8325,1514.7008333333333,30
2,multidoc_qa,0.2,626.4333333333333,573.7658333333334,674.9341666666666,30
2,multidoc_qa,0.3,872.1666666666666,798.0,941.9675,30
2,multidoc_qa,0.4,1131.9,1030.53,1226.1358333333335,30
2,multidoc_qa,0.5,1386.3333333333333,1259.7658333333334,1505.2033333333334,30
2,multidoc_qa,0.65,1759.0666666666666,1597.3991666666668,1910.1683333333333,30
2,multidoc_qa,0.8,2170.5,1968.7666666666667,2363.034166666667,30
2,multidoc_qa,1.0,2779.866666666667,2517.9225,3026.4425,30
2,qa,0.2,577.9333333333333,526.5641666666667,628.035,30
2,qa,0.3,813.2,736.8,885.9716666666666,30
2,qa,0.4,1035.9,941.6308333333333,1127.2333333333333,30
2,qa,0.5,1259.9666666666667,1140.9666666666667,1372.3391666666664,30
2,qa,0.65,1599.4333333333334,1453.9616666666666,1737.4033333333334,30
2,qa,0.8,1993.7666666666667,1813.1983333333335,2164.2074999999995,30
2,qa,1.0,2463.6666666666665,2226.2983333333336,2690.2766666666666,30
2,reason,0.2,722.6666666666666,684.1666666666666,761.5666666666667,30
2,reason,0.3,877.7333333333333,840.8991666666667,914.1674999999999,30
2,reason,0.4,1007.8,968.8658333333334,1047.6666666666667,30
2,reason,0.5,1139.1333333333334,1095.7325,1183.1675,30
2,reason,0.65,1359.2666666666667,1321.3966666666668,1396.9,30
2,reason,0.8,1566.0,1521.5316666666668,1608.9008333333334,30
2,reason,1.0,1644.0,1583.2641666666666,1704.6,30
3,multidoc_qa,0.2,673.9,617.5633333333334,725.6341666666666,30
3,multidoc_qa,0.3,917.0,840.9325,989.5,30
3,multidoc_qa,0.4,1180.1,1076.1258333333335,1277.4008333333334,30
3,multidoc_qa,0.5,1436.3,1306.2983333333334,1558.0008333333333,30
3,multidoc_qa,0.65,1805.3,1642.9308333333333,1956.8383333333331,30
3,multidoc_qa,0.8,2213.2,2009.7941666666666,2408.0,30
3,multidoc_qa,1.0,2826.9,2563.0641666666666,3076.2441666666664,30
3,qa,0.2,617.8,563.6983333333334,670.135,30
3,qa,0.3,854.3,774.7666666666667,929.5675,30
3,qa,0.4,1072.9,978.4308333333333,1165.7741666666666,30
3,qa,0.5,1292.7,1172.6666666666667,1406.3341666666665,30
3,qa,0.65,1626.0,1481.9316666666666,1762.5049999999999,30
3,qa,0.8,2022.1,1841.1925,2191.8,30
3,qa,1.0,2493.2,2254.2975,2719.6716666666666,30
3,reason,0.2,897.1,840.8658333333334,954.2341666666666,30
3,reason,0.3,1059.7,1005.7991666666667,1112.4341666666667,30
3,reason,0.4,1184.3,1127.2633333333333,1243.0333333333333,30
3,reason,0.5,1315.8,1252.165,1380.0366666666666,30
3,reason,0.65,1533.5,1478.1983333333335,1588.8,30
3,reason,0.8,1734.1,1668.4650000000001,1797.1,30
3,reason,1.0,1805.6,1716.5333333333333,1894.5358333333334,30
4,multidoc_qa,0.2,721.3666666666667,661.3316666666667,776.3675,30
4,multidoc_qa,0.3,961.8333333333334,883.2308333333333,1037.4341666666667,30
4,multidoc_qa,0.4,1228.3,1120.765,1327.7008333333333,30
4,multidoc_qa,0.5,1486.2666666666667,1353.0308333333332,1610.605833333333,30
4,multidoc_qa,0.65,1851.5333333333333,1687.4641666666666,2003.8408333333332,30
4,multidoc_qa,0.8,2255.9,2049.665,2452.7675000000004,30
4,multidoc_qa,1.0,2873.9333333333334,2607.025833333333,3126.5358333333334,30
4,qa,0.2,657.6666666666666,600.1325,713.4341666666666,30
4,qa,0.3,895.4,813.5616666666667,973.9675,30
4,qa,0.4,1109.9,1014.4325,1204.5016666666666,30
4,qa,0.5,1325.4333333333334,1203.8,1440.1008333333332,30
4,qa,0.65,1652.5666666666666,1509.3325,1788.0341666666666,30
4,qa,0.8,2050.4333333333334,1869.3941666666667,2219.105,30
4,qa,1.0,2522.733333333333,2283.2324999999996,2749.0249999999996,30
4,reason,0.2,1071.5333333333333,997.0325,1147.5358333333334,30
4,reason,0.3,1241.6666666666667,1170.8308333333332,1311.1008333333332,30
4,reason,0.4,1360.8,1285.3316666666667,1438.5,30
4,reason,0.5,1492.4666666666667,1408.1983333333335,1577.3383333333331,30
4,reason,0.65,1707.7333333333333,1634.7991666666667,1781.0333333333333,30
4,reason,0.8,1902.2,1815.4333333333334,1985.4666666666667,30
4,reason,1.0,1967.2,1849.4650000000001,2084.3708333333334,30
5,multidoc_qa,0.2,768.8333333333334,704.8991666666667,827.8341666666666,30
5,multidoc_qa,0.3,1006.6666666666666,925.1983333333334,1085.57,30
5,multidoc_qa,0.4,1276.5,1165.6308333333334,1378.07,30
5,multidoc_qa,0.5,1536.2333333333333,1400.1258333333335,1664.2675,30
5,multidoc_qa,0.65,1897.7666666666667,1732.7641666666666,2051.8333333333335,30
5,multidoc_qa,0.8,2298.6,2090.0308333333332,2496.9066666666668,30
5,multidoc_qa,1.0,2920.9666666666667,2650.3925,3175.4725,30
5,qa,0.2,697.5333333333333,635.6325,757.1333333333333,30
5,qa,0.3,936.5,851.3633333333333,1018.6,30
5,qa,0.4,1146.9,1050.3641666666665,1243.1008333333332,30
5,qa,0.5,1358.1666666666667,1234.8291666666667,1474.8674999999998,30
5,qa,0.65,1679.1333333333334,1535.7,1812.9683333333332,30
5,qa,0.8,2078.766666666667,1897.665,2247.6008333333334,30
5,qa,1.0,2552.266666666667,2311.0983333333334,2780.6699999999996,30
5,reason,0.2,1245.9666666666667,1153.3666666666666,1340.7341666666666,30
5,reason,0.3,1423.6333333333334,1335.9325000000001,1509.7008333333333,30
5,reason,0.4,1537.3,1443.3291666666667,1633.6666666666667,30
5,reason,0.5,1669.1333333333334,1564.6275,1774.475,30
5,reason,0.65,1881.9666666666667,1791.3,1973.3008333333332,30
5,reason,0.8,2070.3,1962.2966666666666,2173.4691666666668,30
5,reason,1.0,2128.8,1982.5641666666666,2274.366666666667,30
